"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\ExamsPreviewSubmissions.js", "JavaScript", 81, 0, 0, 0, 6, 87
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\ExamsPreviewSubmissions.module.css", "CSS", 0, 36, 0, 0, 7, 43
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\CheckExams.js", "JavaScript", 94, 0, 0, 0, 7, 101
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\CheckExams.module.css", "CSS", 0, 84, 0, 0, 17, 101
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\ExamDetails.js", "JavaScript", 165, 0, 0, 0, 10, 175
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\ExamDetails.module.css", "CSS", 0, 58, 0, 0, 12, 70
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\ExamDetailsItem.js", "JavaScript", 78, 0, 0, 0, 8, 86
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\ExamDetailsItem.module.css", "CSS", 0, 22, 0, 0, 3, 25
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\QuestionRadio.js", "JavaScript", 134, 0, 0, 8, 10, 152
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\QuestionRadio.module.css", "CSS", 0, 40, 0, 0, 7, 47
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\QuestionText.js", "JavaScript", 61, 0, 0, 0, 9, 70
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\QuestionText.module.css", "CSS", 0, 23, 0, 0, 4, 27
